[0413/095225.040:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0413/122452.469:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122457.481:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122502.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122507.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122512.531:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122517.551:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122522.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122527.583:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122532.606:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122537.611:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122542.628:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122547.642:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122552.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122557.676:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122602.698:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122607.715:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122612.724:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122617.732:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122622.747:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122627.765:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122632.775:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122637.794:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122642.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122647.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122931.749:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122936.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122941.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122946.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122951.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122954.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122954.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122954.715:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0413/122956.822:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0414/003238.946:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
